,state,district,label,modal_price,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,N,P,K,temperature,humidity,ph,rainfall,diff
39,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,14,21,35,29.52501367,91.91185319,6.121005506,194.3100272,128.3
40,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,22,29,28.83214859,92.17170353,6.000248647,145.4172387,128.3
41,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,40,5,29,28.48444906,97.76865458,5.820978791,160.389421,128.3
42,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,17,11,32,28.74013335,93.39676499,5.620733794,156.7650823,128.3
43,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,128.3
44,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,28,10,30,29.8690834,91.14723422,6.305740522,192.7678575,128.3
45,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,39,7,29,27.54273211,94.59086121,6.362544111,150.2012138,128.3
46,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,128.3
47,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,7,15,32,25.03512351,95.89739958,6.182232762,174.796583,128.3
48,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,29,17,29,29.20394909,95.66997327,5.959493188,211.2506267,275.8
49,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,34,15,34,27.05826457,91.10510371,5.677282678,224.7006953,275.8
50,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,14,23,25,26.18552389,96.96637916,5.612122797,135.4186222,128.3
51,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,18,19,29,27.59376845,92.48519606,6.206077742,162.8432736,128.3
52,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,7,21,35,25.76011662,94.65830608,5.764812076,131.2451414,128.3
53,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,128.3
54,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,39,29,29,26.50908611,94.48414544,6.143662699,199.8778403,128.3
55,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,29,8,28,26.87037587,91.72546257,6.100429497,214.4128874,275.8
56,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,10,24,27,27.57283516,94.90485697,5.708409601,145.9298935,128.3
57,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,0,29,32,28.05912437,98.3670985,5.868255858,171.6516396,128.3
58,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,32,11,31,29.51611558,92.56492864,6.461225827,131.2116167,128.3
59,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,37,10,32,28.96318258,95.16333673,6.165084855,222.803013,275.8
60,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,128.3
61,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,29,35,27.1872282,92.19906776,6.137102505,141.3220576,128.3
62,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,17,30,27,29.03065024,90.79093862,5.894027065,205.5720367,275.8
63,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,1,12,30,27.754298,95.94643831,5.56222383,131.0900076,128.3
64,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,6,13,29,27.31155708,99.96906006,5.832608028,201.8258633,128.3
65,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,15,28,32,28.84270971,99.64328526,6.218571874,224.4016682,275.8
66,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,24,29,26.61423461,96.97300803,6.142010637,191.006688,128.3
67,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,3,23,30,29.70143197,95.65754365,6.078807239,215.1968037,275.8
68,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,8,26,26,25.54759871,91.64194826,5.702484758,212.867626,275.8
69,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,128.3
70,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,26,18,27,27.45907759,92.90736493,5.836075368,142.1430003,128.3
71,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,1,6,35,27.02269204,95.71935435,6.231662767,147.1682459,128.3
72,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,30,31,28.98545306,90.73966792,5.718120393,148.8398374,128.3
73,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,128.3
74,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,0,26,31,25.0707247,95.02156793,5.547933273,192.9036306,128.3
75,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,38,6,25,25.54963273,96.92786777,6.156259104,191.2996157,128.3
76,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,25,12,26,28.56973521,95.67906668,6.436314406,134.8370348,128.3
77,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,40,5,32,26.07010807,96.7036223,5.981169595,143.533473,128.3
78,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,0,19,31,25.51791333,94.38420565,6.271952833,178.7297725,128.3
79,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,26,9,32,25.9490364,94.73860514,6.470465614,144.1571109,128.3
80,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,35,30,34,28.2974764,95.41122824,6.141502001,182.4482352,128.3
81,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,19,30,30,29.56549169,91.40896307,5.826381164,224.8315729,275.8
82,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,13,33,29.69952329,95.21224392,6.342463714,148.3003692,128.3
83,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,128.3
84,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,2,30,30,26.00175125,94.79998418,6.331051715,209.540094,275.8
85,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,30,13,25,27.15116142,91.48889469,6.413184638,164.9182225,128.3
86,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,8,15,33,28.97318719,98.09861043,5.50158009,213.9011021,275.8
87,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,128.3
88,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,128.3
89,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,40,22,29,27.55821802,99.98187601,5.735364307,174.6256481,128.3
90,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,10,33,27.81132822,97.48410555,6.465906333,154.0621221,128.3
91,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,21,20,31,25.60033702,99.7240104,5.855457599,165.8248732,128.3
92,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,3,9,35,26.91641934,99.84671638,6.318552973,225.6323656,275.8
93,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,22,16,27,29.1797902,90.27214288,6.006784979,188.9252083,128.3
94,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,8,30,26.44600063,98.29937782,6.008386283,221.2258168,275.8
95,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,275.8
96,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,128.3
97,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,23,21,26,26.45488737,93.45042636,5.901495544,149.2220255,128.3
98,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,37,5,34,25.79490531,93.84150618,5.779032666,152.4238712,128.3
99,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,19,26,29,26.93141945,98.80313612,5.67154928,166.5712879,128.3
100,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,182.4
101,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,262.5
102,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,262.5
103,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,262.5
104,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,262.5
105,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,262.5
106,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,262.5
107,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,262.5
108,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,262.5
109,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,182.4
110,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,262.5
111,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,262.5
112,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,262.5
113,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,182.4
114,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,182.4
115,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,262.5
116,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,262.5
117,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,182.4
118,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,262.5
119,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,262.5
120,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,182.4
121,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,262.5
122,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,182.4
123,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,262.5
124,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,262.5
125,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,262.5
126,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,262.5
127,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,262.5
128,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,262.5
129,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,182.4
130,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,262.5
131,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,182.4
132,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,262.5
133,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,262.5
134,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,262.5
135,assam,cachar,rice,2400,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,182.4
